City,State,Median Age,Male Population,Female Population,Total Population,Number of Veterans,Foreign-born,Average Household Size,State Code,Race,Count
Manteca,California,35.3,37053,38397,75450,3936,13942,3.25,CA,Hispanic or Latino,31552
Knoxville,Tennessee,33.1,89978,95334,185312,10897,10285,2.21,TN,American Indian and Alaska Native,2304
San Francisco,California,38.3,439752,425064,864816,26276,297199,2.37,CA,Asian,324034
Cedar Park,Texas,34.4,31248,33589,64837,3090,5207,3.05,TX,White,56991
Mountain View,California,33.5,42493,37945,80438,1376,31857,2.46,CA,American Indian and Alaska Native,577
Riverview,Florida,32.2,44210,45536,89746,6943,12240,3.22,FL,Asian,3582
Napa,California,37.2,39828,40601,80429,4678,18449,2.84,CA,Hispanic or Latino,33229
Tulsa,Oklahoma,35,197437,205654,403091,24672,43751,2.37,OK,Hispanic or Latino,61217
North Charleston,South Carolina,30.7,56549,55315,111864,9651,8789,2.82,SC,American Indian and Alaska Native,1042
Trenton,New Jersey,33.3,42581,41650,84231,2604,20428,3.04,NJ,White,37683
Fishers,Indiana,34.5,42161,43910,86071,2469,6138,2.8,IN,White,73361
Midland,Texas,32.1,66595,66355,132950,5753,17061,2.78,TX,Black or African-American,10379
Bryan,Texas,29.4,41761,40345,82106,3602,12014,2.55,TX,Hispanic or Latino,29647
Salt Lake City,Utah,32.1,98364,94296,192660,6829,32166,2.38,UT,White,150136
Yuba City,California,34.5,33654,33290,66944,4706,18032,2.9,CA,Black or African-American,1912
Camden,New Jersey,27.9,36437,39694,76131,1425,11317,3,NJ,Asian,1686
Newport Beach,California,46.8,43161,43970,87131,4847,15318,2.4,CA,Hispanic or Latino,8127
Frederick,Maryland,36.1,33146,36336,69482,3870,14211,2.48,MD,Asian,5711
Cambridge,Massachusetts,31.5,55421,54981,110402,2495,27757,2.06,MA,Asian,18441
Rockford,Illinois,36.3,71076,78270,149346,8894,18323,2.52,IL,Black or African-American,33122
Frisco,Texas,37.2,73989,80399,154388,6297,30913,3.05,TX,Hispanic or Latino,17093
San Tan Valley,Arizona,31.3,40429,42368,82797,4300,5757,3.44,AZ,Black or African-American,2027
Conroe,Texas,31.5,34907,33685,68592,4871,13839,2.65,TX,White,57480
Kennewick,Washington,32,38492,40411,78903,5158,8376,2.78,WA,Asian,4252
Cincinnati,Ohio,32.7,143654,154883,298537,13699,16896,2.08,OH,American Indian and Alaska Native,3362
Muncie,Indiana,27.4,32446,37255,69701,2968,1062,2.35,IN,Black or African-American,10482
Newton,Massachusetts,42.3,41985,46824,88809,1814,21692,2.71,MA,Hispanic or Latino,4790
Aurora,Illinois,31.7,101964,101751,203715,4988,50980,3.3,IL,Asian,17190
Bismarck,North Dakota,38,34675,35565,70240,4145,2064,2.11,ND,White,64719
Chandler,Arizona,35.6,128885,131948,260833,15870,38721,2.78,AZ,American Indian and Alaska Native,6601
Mission Viejo,California,44.9,48849,48314,97163,4713,17308,2.85,CA,White,81186
The Woodlands,Texas,38.8,56083,63061,119144,8351,21188,2.93,TX,Black or African-American,6420
Tempe,Arizona,28.8,91350,84476,175826,7058,26620,2.44,AZ,Black or African-American,11293
Springdale,Arkansas,31.8,36840,43614,80454,3397,19969,3.04,AR,Black or African-American,1859
Yuma,Arizona,33.4,48298,45847,94145,7182,19326,2.64,AZ,Asian,1180
Sunrise Manor,Nevada,32.5,93505,99103,192608,10663,56530,3.25,NV,White,109960
San Ramon,California,39.1,39221,36911,76132,2855,29691,3.09,CA,Hispanic or Latino,5449
Conroe,Texas,31.5,34907,33685,68592,4871,13839,2.65,TX,Asian,2302
Edmond,Oklahoma,32.5,45191,44899,90090,5006,5585,2.68,OK,Hispanic or Latino,6187
Pine Hills,Florida,29.2,35344,40737,76081,2594,20735,3.3,FL,Asian,2209
Kendall,Florida,40.2,36658,39808,76466,1678,31180,2.81,FL,Black or African-American,2937
Ames,Iowa,23,33814,31238,65052,2265,8606,2.16,IA,Hispanic or Latino,2024
Oceanside,California,39.4,87482,88232,175714,18051,37492,2.72,CA,American Indian and Alaska Native,2452
Stockton,California,32.5,150976,154674,305650,12822,79583,3.16,CA,American Indian and Alaska Native,19834
Rochester,Minnesota,35,54934,57282,112216,6888,17763,2.55,MN,Asian,9839
Carlsbad,California,42.1,55119,58347,113466,6031,17689,2.68,CA,Asian,11948
North Las Vegas,Nevada,32.2,116350,118443,234793,17256,49815,3.31,NV,Hispanic or Latino,94804
Pueblo,Colorado,37.6,55635,53784,109419,7989,3578,2.44,CO,Black or African-American,4107
Indio,California,35.9,43803,43723,87526,3647,22538,3.08,CA,White,48562
Albuquerque,New Mexico,36,273323,285808,559131,37443,58200,2.49,NM,Hispanic or Latino,271854
Jacksonville,North Carolina,24.2,40015,27348,67363,8252,3732,2.51,NC,White,51245
Spring Valley,Nevada,37,96808,97147,193955,10644,61072,2.79,NV,Asian,45059
Indianapolis,Indiana,34.1,410615,437808,848423,42186,72456,2.53,IN,American Indian and Alaska Native,8656
Phoenix,Arizona,33.8,786833,776168,1563001,72388,300702,2.89,AZ,Asian,66403
Fort Collins,Colorado,29.6,80893,80288,161181,8425,9704,2.45,CO,Asian,7913
Auburn,Washington,37.1,36837,39743,76580,5401,14842,2.73,WA,Asian,12341
Fort Myers,Florida,37.3,36850,37165,74015,4312,15365,2.45,FL,Hispanic or Latino,17866
Chico,California,29.9,46168,44168,90336,4519,8425,2.5,CA,American Indian and Alaska Native,2766
Eagan,Minnesota,36.8,31587,34701,66288,2699,8642,2.49,MN,American Indian and Alaska Native,684
Denver,Colorado,34.1,341137,341408,682545,29363,113222,2.33,CO,American Indian and Alaska Native,14008
Irvine,California,34.6,125411,131516,256927,5532,116366,2.73,CA,Black or African-American,8670
Modesto,California,35.2,104852,106405,211257,9855,39613,2.97,CA,Hispanic or Latino,85141
Davis,California,26.3,33493,34163,67656,2176,13997,2.69,CA,Asian,17816
Arlington,Texas,32.6,191060,197062,388122,17050,79271,2.89,TX,Asian,31804
Sandy,Utah,34.6,46923,46689,93612,3451,6691,3.22,UT,Asian,5657
Bellingham,Washington,30.7,41286,43857,85143,4703,8713,2.44,WA,Hispanic or Latino,6966
Riverview,Florida,32.2,44210,45536,89746,6943,12240,3.22,FL,Black or African-American,15159
Norfolk,Virginia,30.2,128917,117476,246393,29445,16702,2.51,VA,American Indian and Alaska Native,3259
Hawthorne,California,33.7,43682,44762,88444,2123,32107,2.97,CA,Black or African-American,21566
Jonesboro,Arkansas,32.6,35666,38240,73906,3682,3222,2.44,AR,White,56626
Missoula,Montana,34.7,35002,36022,71024,4733,2771,2.15,MT,White,66504
Evanston,Illinois,36.8,34146,41377,75523,2058,15003,2.29,IL,Hispanic or Latino,9075
Orem,Utah,26.1,48695,45762,94457,2828,12808,3.26,UT,Asian,3862
Longmont,Colorado,36.8,43941,48280,92221,4925,10424,2.63,CO,Black or African-American,1782
South Gate,California,32.5,47758,48641,96399,724,40571,3.97,CA,Black or African-American,1615
Clifton,New Jersey,38.5,41932,44409,86341,2603,27979,3.11,NJ,American Indian and Alaska Native,2417
South Bend,Indiana,32.4,50483,53274,103757,3708,8779,2.72,IN,Asian,1788
Arvada,Colorado,41,54870,60165,115035,8930,4921,2.49,CO,Hispanic or Latino,16419
Bloomington,Indiana,23.5,40588,43227,83815,2368,10033,2.33,IN,White,71200
Florence-Graham,California,30.2,34186,32173,66359,416,28696,4.57,CA,White,30591
Santa Ana,California,30.8,167503,167920,335423,4735,152999,4.58,CA,Asian,37651
Camarillo,California,40.8,31941,35682,67623,4384,9735,2.77,CA,Asian,7198
Amarillo,Texas,33.8,99391,100260,199651,11008,21124,2.64,TX,Black or African-American,14050
Dayton,Ohio,32.8,66631,73966,140597,8465,7381,2.26,OH,Hispanic or Latino,4945
Jackson,Tennessee,35.3,30007,36973,66980,3529,2097,2.52,TN,White,36037
Mesquite,Texas,34.6,69240,75884,145124,6438,26755,2.96,TX,White,98597
Kenosha,Wisconsin,36.3,49349,50507,99856,6238,7443,2.55,WI,Asian,2537
Denton,Texas,28.7,62478,68569,131047,6352,18451,2.66,TX,Asian,7061
Rockford,Illinois,36.3,71076,78270,149346,8894,18323,2.52,IL,American Indian and Alaska Native,2301
Saint Cloud,Minnesota,30.7,34311,33942,68253,5012,5757,2.41,MN,American Indian and Alaska Native,1169
Quincy,Massachusetts,41,44129,49500,93629,4147,32935,2.39,MA,White,58723
Redding,California,38.8,42530,49049,91579,6926,5181,2.42,CA,Asian,5271
Chandler,Arizona,35.6,128885,131948,260833,15870,38721,2.78,AZ,Asian,33079
Fort Collins,Colorado,29.6,80893,80288,161181,8425,9704,2.45,CO,Hispanic or Latino,15521
Alhambra,California,41,42184,43388,85572,1673,44441,2.89,CA,Asian,44067
Skokie,Illinois,43.4,31382,33437,64819,1066,27424,2.78,IL,White,40642
Rochester,Minnesota,35,54934,57282,112216,6888,17763,2.55,MN,American Indian and Alaska Native,1172
Wichita Falls,Texas,34,55775,48934,104709,7800,9855,2.41,TX,Asian,3688
Poinciana,Florida,34.2,38142,35801,73943,2933,14349,3.93,FL,Hispanic or Latino,37382
San Marcos,California,35.4,45246,47688,92934,5189,21558,3.13,CA,Asian,11519
Fullerton,California,34.5,69549,71300,140849,5394,43404,2.97,CA,Black or African-American,5241
Murrieta,California,35.3,49363,60453,109816,7242,19875,3.3,CA,Asian,16041
Orlando,Florida,33.1,130940,139977,270917,12782,50558,2.42,FL,Black or African-American,68081
Roanoke,Virginia,36.9,47252,52645,99897,6567,7346,2.35,VA,Hispanic or Latino,6091
Avondale,Arizona,29.1,38712,41971,80683,4815,8355,3.18,AZ,Black or African-American,11592
Richmond,California,35.3,52615,57100,109715,3611,42215,2.87,CA,Hispanic or Latino,45132
Wichita Falls,Texas,34,55775,48934,104709,7800,9855,2.41,TX,White,82860
Orange,California,35,67337,73658,140995,3993,34550,3.14,CA,Hispanic or Latino,46255
Temple,Texas,33.6,33512,38785,72297,7333,3968,2.59,TX,Black or African-American,14747
Nashville,Tennessee,34.1,314231,340365,654596,27942,88193,2.39,TN,White,432447
Independence,Missouri,38.6,54348,62907,117255,10220,4911,2.33,MO,White,98940
Bloomington,Indiana,23.5,40588,43227,83815,2368,10033,2.33,IN,American Indian and Alaska Native,912
Rancho Cordova,California,33.8,34844,36182,71026,4590,17020,2.86,CA,White,47757
Deerfield Beach,Florida,41.4,37155,42614,79769,3882,23642,2.46,FL,Black or African-American,25344
Union City,New Jersey,35.4,35376,33773,69149,705,40553,2.85,NJ,American Indian and Alaska Native,545
Lauderhill,Florida,35.7,32813,38761,71574,1965,25471,3.02,FL,White,10788
North Charleston,South Carolina,30.7,56549,55315,111864,9651,8789,2.82,SC,Black or African-American,56734
Omaha,Nebraska,34.2,218789,225098,443887,24503,48263,2.47,NE,Asian,19105
Jackson,Tennessee,35.3,30007,36973,66980,3529,2097,2.52,TN,Asian,1171
Indianapolis,Indiana,34.1,410615,437808,848423,42186,72456,2.53,IN,Hispanic or Latino,83426
Antioch,California,34,54733,55809,110542,5681,24942,3.31,CA,Black or African-American,23227
Chico,California,29.9,46168,44168,90336,4519,8425,2.5,CA,Hispanic or Latino,15578
Pueblo,Colorado,37.6,55635,53784,109419,7989,3578,2.44,CO,Asian,2468
Ogden,Utah,31.3,44323,41127,85450,5080,12791,2.68,UT,American Indian and Alaska Native,1717
Manchester,New Hampshire,37.3,54845,55378,110223,5473,14506,2.4,NH,Hispanic or Latino,11962
Duluth,Minnesota,34.7,41271,44855,86126,5015,2258,2.25,MN,White,81720
Vista,California,29.3,50680,50204,100884,4957,23271,3.52,CA,Black or African-American,5164
Palo Alto,California,40.2,31451,35397,66848,2025,23348,2.55,CA,White,43019
Merced,California,29.7,40048,42392,82440,3723,16348,3.15,CA,American Indian and Alaska Native,2331
Yonkers,New York,38,96580,104538,201118,4801,61247,2.8,NY,American Indian and Alaska Native,1112
Laredo,Texas,28.8,124305,131484,255789,4921,68427,3.66,TX,Hispanic or Latino,243190
Fort Wayne,Indiana,34.7,124815,133329,258144,13539,19146,2.45,IN,American Indian and Alaska Native,3577
Apple Valley,California,34.3,32873,39312,72185,5714,5801,3.03,CA,Asian,2281
Bridgeport,Connecticut,34.1,71509,76110,147619,4646,44475,2.86,CT,Black or African-American,53770
Raleigh,North Carolina,32.8,219184,232765,451949,16747,65125,2.42,NC,American Indian and Alaska Native,3955
Corpus Christi,Texas,35,160488,163594,324082,25078,30834,2.69,TX,White,292663
Murfreesboro,Tennessee,30.2,60704,65417,126121,5199,8948,2.6,TN,White,97270
San Mateo,California,39.3,50966,52558,103524,2730,34957,2.64,CA,Black or African-American,2880
Plymouth,Minnesota,38.4,39035,36893,75928,4158,8830,2.46,MN,American Indian and Alaska Native,760
Westminster,Colorado,37.8,54866,58251,113117,6512,11361,2.63,CO,American Indian and Alaska Native,1444
Brockton,Massachusetts,35.2,46273,49041,95314,3036,27313,2.88,MA,White,40110
Waterbury,Connecticut,36.2,52235,56572,108807,3493,19967,2.71,CT,Asian,4080
Waco,Texas,29.3,63452,68890,132342,10716,14235,2.57,TX,White,96958
Quincy,Massachusetts,41,44129,49500,93629,4147,32935,2.39,MA,Black or African-American,3917
Dayton,Ohio,32.8,66631,73966,140597,8465,7381,2.26,OH,Black or African-American,57280
Buffalo,New York,33.1,124537,133529,258066,11231,24630,2.27,NY,American Indian and Alaska Native,4406
Oceanside,California,39.4,87482,88232,175714,18051,37492,2.72,CA,White,137533
Long Beach,California,34.6,238159,236013,474172,17463,127764,2.78,CA,Asian,68095
Dallas,Texas,32.6,639019,661063,1300082,41026,326825,2.59,TX,Black or African-American,322570
Schaumburg,Illinois,36.9,35971,39840,75811,2019,24614,2.72,IL,Hispanic or Latino,12545
Oklahoma City,Oklahoma,34.1,309227,322036,631263,41843,80165,2.58,OK,Asian,33759
Boca Raton,Florida,47.3,44760,48466,93226,4367,21117,2.22,FL,Hispanic or Latino,14735
Somerville,Massachusetts,31,41028,39306,80334,2103,22292,2.43,MA,White,62927
San Angelo,Texas,32.8,49669,50744,100413,8412,7859,2.5,TX,American Indian and Alaska Native,548
Lexington-Fayette  county,Kentucky,34.4,154032,160456,314488,16661,28613,2.34,KY,American Indian and Alaska Native,3187
Lee's Summit,Missouri,36.8,48353,46715,95068,6624,3803,2.68,MO,Black or African-American,7100
Livermore,California,36.7,41522,46595,88117,3063,13959,2.91,CA,Hispanic or Latino,19582
Sugar Land,Texas,42.1,43889,44240,88129,4377,31169,2.95,TX,Hispanic or Latino,7835
Lauderhill,Florida,35.7,32813,38761,71574,1965,25471,3.02,FL,Black or African-American,56948
Green Bay,Wisconsin,32.9,52517,52704,105221,5519,9813,2.37,WI,White,82033
Ontario,California,31,85059,86141,171200,4816,48557,3.52,CA,Asian,14313
Fort Wayne,Indiana,34.7,124815,133329,258144,13539,19146,2.45,IN,Black or African-American,46319
Brandon,Florida,36.1,55679,58289,113968,9417,16390,2.64,FL,Hispanic or Latino,26224
Ann Arbor,Michigan,28.1,58789,58281,117070,3614,20717,2.17,MI,American Indian and Alaska Native,1935
Tampa,Florida,35.3,175517,193511,369028,20636,58795,2.47,FL,Black or African-American,92156
Bismarck,North Dakota,38,34675,35565,70240,4145,2064,2.11,ND,Hispanic or Latino,1667
Pompano Beach,Florida,42.5,56569,51202,107771,5145,32733,2.55,FL,American Indian and Alaska Native,2138
Wilmington,Delaware,36.4,32680,39277,71957,3063,3336,2.45,DE,White,23743
Peoria,Illinois,33.1,56229,62432,118661,6634,7517,2.4,IL,White,77074
Sandy,Utah,34.6,46923,46689,93612,3451,6691,3.22,UT,Black or African-American,522
Tacoma,Washington,37.7,100914,107036,207950,19040,31863,2.48,WA,Black or African-American,30914
Carmichael,California,41,29281,33934,63215,4225,7378,2.39,CA,White,55862
Evanston,Illinois,36.8,34146,41377,75523,2058,15003,2.29,IL,White,54496
Fullerton,California,34.5,69549,71300,140849,5394,43404,2.97,CA,White,92216
Santa Barbara,California,37.8,45068,46784,91852,4518,19441,2.51,CA,Black or African-American,2013
Lake Forest,California,40.3,41515,40982,82497,3748,20784,2.76,CA,American Indian and Alaska Native,1482
Joliet,Illinois,33.1,70863,79162,150025,7353,22409,3.13,IL,Black or African-American,27883
Springdale,Arkansas,31.8,36840,43614,80454,3397,19969,3.04,AR,White,56843
Concord,California,39.6,62310,66358,128668,6287,37428,2.72,CA,White,92575
Pearland,Texas,33.9,52336,59329,111665,5621,16882,3,TX,Hispanic or Latino,26460
Paradise,Nevada,37.2,122784,114162,236946,14112,66712,2.65,NV,Black or African-American,25091
New Braunfels,Texas,37,33071,36852,69923,5204,5405,2.85,TX,White,63789
Lynchburg,Virginia,28.7,38614,41198,79812,4322,4364,2.48,VA,American Indian and Alaska Native,1024
Fairfield,California,34.7,55550,57422,112972,8607,24503,3.14,CA,Hispanic or Latino,32976
Savannah,Georgia,30.3,69389,76295,145684,9717,10355,2.57,GA,Black or African-American,82307
Saint George,Utah,37.3,38732,41475,80207,4443,4824,2.81,UT,Black or African-American,1376
Tuscaloosa,Alabama,29.1,47293,51045,98338,3647,4706,2.67,AL,Hispanic or Latino,2475
Victoria,Texas,35.8,32290,35291,67581,5000,4480,2.7,TX,Black or African-American,6058
Seattle,Washington,35.5,345659,338784,684443,29364,119840,2.13,WA,American Indian and Alaska Native,12804
Fremont,California,38.3,114383,117808,232191,4629,109427,3.12,CA,Black or African-American,7762
Sunnyvale,California,35.7,79480,72280,151760,3900,71441,2.74,CA,Asian,69472
Mobile,Alabama,38,91275,103030,194305,11939,7234,2.4,AL,Asian,5518
Gainesville,Florida,26,60803,69330,130133,4788,15272,2.33,FL,American Indian and Alaska Native,740
Thornton,Colorado,33.1,65482,67977,133459,7261,17949,2.97,CO,Asian,7034
Springdale,Arkansas,31.8,36840,43614,80454,3397,19969,3.04,AR,Asian,1422
Evansville,Indiana,38,57198,60481,117679,9063,3169,2.25,IN,American Indian and Alaska Native,713
Flower Mound,Texas,40.2,35200,35824,71024,4217,6860,3.01,TX,Asian,6577
Concord,North Carolina,35.7,42732,44961,87693,4621,8847,2.72,NC,American Indian and Alaska Native,216
Lauderhill,Florida,35.7,32813,38761,71574,1965,25471,3.02,FL,American Indian and Alaska Native,1186
Indio,California,35.9,43803,43723,87526,3647,22538,3.08,CA,American Indian and Alaska Native,1112
Sunrise,Florida,37.7,41471,51235,92706,4108,38209,2.98,FL,White,54976
Oxnard,California,31,101906,105346,207252,6367,78678,4.08,CA,Hispanic or Latino,154911
North Las Vegas,Nevada,32.2,116350,118443,234793,17256,49815,3.31,NV,Asian,20273
El Paso,Texas,33.1,332797,348339,681136,47693,159709,3.03,TX,Hispanic or Latino,542017
Salinas,California,30.4,77765,79621,157386,4020,58693,3.72,CA,Asian,11227
Renton,Washington,36.3,52779,47468,100247,5032,28962,2.57,WA,Hispanic or Latino,15392
Brownsville,Texas,30.6,87689,96199,183888,4211,53301,3.48,TX,White,174670
East Los Angeles,California,32.6,60460,59206,119666,1101,49575,3.75,CA,American Indian and Alaska Native,778
Chula Vista,California,34.6,131485,134269,265754,12368,82710,3.32,CA,Black or African-American,15641
Corona,California,37.1,79749,84493,164242,7709,42131,2.97,CA,Asian,21044
Chandler,Arizona,35.6,128885,131948,260833,15870,38721,2.78,AZ,Black or African-American,16163
Sunrise Manor,Nevada,32.5,93505,99103,192608,10663,56530,3.25,NV,Black or African-American,29483
Clearwater,Florida,47,55225,57754,112979,10631,17686,2.4,FL,American Indian and Alaska Native,867
Miami Gardens,Florida,34.9,50719,62480,113199,2327,33394,3.75,FL,Hispanic or Latino,23287
Aurora,Colorado,34.2,177899,180971,358870,25158,65816,2.82,CO,Hispanic or Latino,109396
Lincoln,Nebraska,32.3,138544,138802,277346,14694,22958,2.4,NE,Asian,15138
Gainesville,Florida,26,60803,69330,130133,4788,15272,2.33,FL,Asian,11963
Silver Spring,Maryland,33.8,40601,41862,82463,1562,30908,2.6,MD,Hispanic or Latino,25924
Yorba Linda,California,45.5,31960,36006,67966,3171,15532,3,CA,White,49980
Decatur,Illinois,40.4,34646,38210,72856,5291,1224,2.23,IL,White,56231
Yakima,Washington,34,45147,48553,93700,4705,15717,2.74,WA,White,79286
Tracy,California,35.5,43156,43937,87093,3025,25410,3.42,CA,American Indian and Alaska Native,2120
Union City,New Jersey,35.4,35376,33773,69149,705,40553,2.85,NJ,Asian,4044
Reading,Pennsylvania,29.4,43668,44205,87873,2580,17043,2.95,PA,Black or African-American,20821
Las Vegas,Nevada,37.5,310568,313201,623769,42397,127609,2.79,NV,White,429142
Norwalk,Connecticut,42.4,40880,47603,88483,2877,22328,2.7,CT,American Indian and Alaska Native,552
Reno,Nevada,35.7,122292,119151,241443,17089,37070,2.46,NV,Black or African-American,9427
Arlington,Texas,32.6,191060,197062,388122,17050,79271,2.89,TX,American Indian and Alaska Native,2918
Plano,Texas,38.1,138565,145054,283619,11719,74030,2.65,TX,Black or African-American,25217
Rio Rancho,New Mexico,38.3,47251,46904,94155,8527,5200,2.86,NM,American Indian and Alaska Native,4857
Santa Rosa,California,37.9,86840,88149,174989,9101,33015,2.7,CA,Hispanic or Latino,54578
Abilene,Texas,31.3,65212,60664,125876,9367,8129,2.64,TX,Black or African-American,14449
Brownsville,Texas,30.6,87689,96199,183888,4211,53301,3.48,TX,American Indian and Alaska Native,1165
Lowell,Massachusetts,33.4,54422,56298,110720,3764,33414,2.8,MA,White,68838
Allen,Pennsylvania,33.5,60626,59581,120207,5691,19652,2.67,PA,Asian,2670
